Rendering est
  INFO     Rendering texts in 10621 tiles...                                                                                                                                                                
         23726113 function calls (23592317 primitive calls) in 70.825 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    14122    0.073    0.000    0.092    0.000 PngImagePlugin.py:359(__init__)
    36067    0.053    0.000    0.090    0.000 decorators.py:64(<listcomp>)
      429    0.001    0.000    0.089    0.000 coord.py:97(__init__)
        1    0.000    0.000    0.088    0.088 plugin_schema_manager.py:1(<module>)
      429    0.001    0.000    0.088    0.000 linestring.py:37(__new__)
   175077    0.086    0.000    0.086    0.000 {method 'partition' of 'str' objects}
      204    0.001    0.000    0.084    0.000 sre_parse.py:944(parse)
      105    0.082    0.001    0.082    0.001 {built-in method posix.listdir}
       98    0.001    0.000    0.082    0.001 <frozen importlib._bootstrap_external>:1587(_fill_cache)
  767/204    0.004    0.000    0.082    0.000 sre_parse.py:436(_parse_sub)
        1    0.000    0.000    0.082    0.082 progress.py:1(<module>)
11878/7913    0.018    0.000    0.081    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
 1009/243    0.036    0.000    0.080    0.000 sre_parse.py:494(_parse)
      429    0.002    0.000    0.078    0.000 linestring.py:58(<listcomp>)
    14122    0.047    0.000    0.078    0.000 PngImagePlugin.py:924(load_read)
    42366    0.077    0.000    0.077    0.000 {method 'seek' of '_io.BufferedReader' objects}
     3618    0.004    0.000    0.075    0.000 linestring.py:52(_coords)
4863/4613    0.005    0.000    0.074    0.000 typing.py:306(inner)
5240/4956    0.011    0.000    0.074    0.000 schema.py:122(validate)
104579/104511    0.073    0.000    0.073    0.000 {method 'join' of 'str' objects}
    28244    0.041    0.000    0.072    0.000 PngImagePlugin.py:152(_crc32)
        1    0.000    0.000    0.071    0.071 console.py:1(<module>)
    70178    0.070    0.000    0.070    0.000 uuid.py:333(hex)
      800    0.001    0.000    0.067    0.000 __init__.py:1448(setLevel)
     9232    0.015    0.000    0.066    0.000 {built-in method builtins.sorted}
      800    0.048    0.000    0.066    0.000 __init__.py:1403(_clear_cache)
        5    0.000    0.000    0.066    0.013 api.py:1(<module>)
   101010    0.065    0.000    0.065    0.000 pathlib.py:94(join_parsed_parts)
    28292    0.036    0.000    0.064    0.000 __init__.py:1455(debug)
   181525    0.063    0.000    0.063    0.000 {method 'endswith' of 'str' objects}
